"num","Year","Cases","Canton","Month"
"1",2000,1,"Limon",1
"2",2000,6,"Limon",2
"3",2000,5,"Limon",3
"4",2000,6,"Limon",4
"5",2000,19,"Limon",5
"6",2000,30,"Limon",6
"7",2000,31,"Limon",7
"8",2000,66,"Limon",8
"9",2000,149,"Limon",9
"10",2000,395,"Limon",10
"11",2000,391,"Limon",11
"12",2000,278,"Limon",12
"13",2001,258,"Limon",1
"14",2001,92,"Limon",2
"15",2001,56,"Limon",3
"16",2001,53,"Limon",4
"17",2001,63,"Limon",5
"18",2001,70,"Limon",6
"19",2001,98,"Limon",7
"20",2001,135,"Limon",8
"21",2001,172,"Limon",9
"22",2001,132,"Limon",10
"23",2001,85,"Limon",11
"24",2001,21,"Limon",12
"25",2002,15,"Limon",12
"26",2002,29,"Limon",1
"27",2002,24,"Limon",2
"28",2002,19,"Limon",3
"29",2002,28,"Limon",4
"30",2002,36,"Limon",5
"31",2002,43,"Limon",6
"32",2002,40,"Limon",7
"33",2002,88,"Limon",8
"34",2002,114,"Limon",9
"35",2002,32,"Limon",10
"36",2002,8,"Limon",11
"37",2003,169,"Limon",12
"38",2003,3,"Limon",1
"39",2003,6,"Limon",2
"40",2003,11,"Limon",3
"41",2003,3,"Limon",4
"42",2003,19,"Limon",5
"43",2003,49,"Limon",6
"44",2003,110,"Limon",7
"45",2003,113,"Limon",8
"46",2003,221,"Limon",9
"47",2003,158,"Limon",10
"48",2003,184,"Limon",11
"49",2004,111,"Limon",1
"50",2004,167,"Limon",2
"51",2004,247,"Limon",3
"52",2004,170,"Limon",4
"53",2004,218,"Limon",5
"54",2004,197,"Limon",6
"55",2004,122,"Limon",7
"56",2004,118,"Limon",8
"57",2004,105,"Limon",9
"58",2004,69,"Limon",10
"59",2004,42,"Limon",11
"60",2004,31,"Limon",12
"61",2005,44,"Limon",1
"62",2005,43,"Limon",2
"63",2005,23,"Limon",3
"64",2005,38,"Limon",4
"65",2005,58,"Limon",5
"66",2005,62,"Limon",6
"67",2005,108,"Limon",7
"68",2005,266,"Limon",8
"69",2005,276,"Limon",9
"70",2005,471,"Limon",10
"71",2005,116,"Limon",11
"72",2005,37,"Limon",12
"73",2006,21,"Limon",1
"74",2006,40,"Limon",2
"75",2006,22,"Limon",3
"76",2006,22,"Limon",4
"77",2006,32,"Limon",5
"78",2006,22,"Limon",6
"79",2006,48,"Limon",7
"80",2006,28,"Limon",8
"81",2006,21,"Limon",9
"82",2006,67,"Limon",10
"83",2006,90,"Limon",11
"84",2006,69,"Limon",12
"85",2007,101,"Limon",1
"86",2007,104,"Limon",2
"87",2007,116,"Limon",3
"88",2007,146,"Limon",4
"89",2007,169,"Limon",5
"90",2007,574,"Limon",6
"91",2007,743,"Limon",7
"92",2007,460,"Limon",8
"93",2007,464,"Limon",9
"94",2007,220,"Limon",10
"95",2007,57,"Limon",11
"96",2007,17,"Limon",12
"97",2008,8,"Limon",12
"98",2008,36,"Limon",1
"99",2008,10,"Limon",2
"100",2008,7,"Limon",3
"101",2008,11,"Limon",4
"102",2008,10,"Limon",5
"103",2008,54,"Limon",6
"104",2008,21,"Limon",7
"105",2008,10,"Limon",8
"106",2008,22,"Limon",9
"107",2008,18,"Limon",10
"108",2008,27,"Limon",11
"109",2009,19,"Limon",1
"110",2009,7,"Limon",2
"111",2009,10,"Limon",3
"112",2009,9,"Limon",4
"113",2009,4,"Limon",5
"114",2009,11,"Limon",6
"115",2009,20,"Limon",7
"116",2009,11,"Limon",8
"117",2009,7,"Limon",9
"118",2009,2,"Limon",10
"119",2009,5,"Limon",11
"120",2009,5,"Limon",12
"121",2010,0,"Limon",1
"122",2010,1,"Limon",2
"123",2010,1,"Limon",3
"124",2010,1,"Limon",4
"125",2010,3,"Limon",5
"126",2010,9,"Limon",6
"127",2010,10,"Limon",7
"128",2010,21,"Limon",8
"129",2010,8,"Limon",9
"130",2010,32,"Limon",10
"131",2010,98,"Limon",11
"132",2010,24,"Limon",12
"133",2011,14,"Limon",1
"134",2011,6,"Limon",2
"135",2011,10,"Limon",3
"136",2011,9,"Limon",4
"137",2011,43,"Limon",5
"138",2011,133,"Limon",6
"139",2011,274,"Limon",7
"140",2011,606,"Limon",8
"141",2011,565,"Limon",9
"142",2011,450,"Limon",10
"143",2011,186,"Limon",11
"144",2011,47,"Limon",12
"145",2012,13,"Limon",1
"146",2012,8,"Limon",2
"147",2012,8,"Limon",3
"148",2012,7,"Limon",4
"149",2012,19,"Limon",5
"150",2012,42,"Limon",6
"151",2012,47,"Limon",7
"152",2012,63,"Limon",8
"153",2012,61,"Limon",9
"154",2012,66,"Limon",10
"155",2012,33,"Limon",11
"156",2012,11,"Limon",12
"157",2013,12,"Limon",12
"158",2013,22,"Limon",1
"159",2013,13,"Limon",2
"160",2013,10,"Limon",3
"161",2013,21,"Limon",4
"162",2013,44,"Limon",5
"163",2013,32,"Limon",6
"164",2013,30,"Limon",7
"165",2013,23,"Limon",8
"166",2013,60,"Limon",9
"167",2013,40,"Limon",10
"168",2013,11,"Limon",11
"169",2014,7,"Limon",12
"170",2014,18,"Limon",1
"171",2014,19,"Limon",2
"172",2014,17,"Limon",3
"173",2014,2,"Limon",4
"174",2014,20,"Limon",5
"175",2014,26,"Limon",6
"176",2014,35,"Limon",7
"177",2014,62,"Limon",8
"178",2014,29,"Limon",9
"179",2014,3,"Limon",10
"180",2014,3,"Limon",11
"181",2015,7,"Limon",1
"182",2015,1,"Limon",2
"183",2015,13,"Limon",3
"184",2015,11,"Limon",4
"185",2015,44,"Limon",5
"186",2015,132,"Limon",6
"187",2015,46,"Limon",7
"188",2015,21,"Limon",8
"189",2015,15,"Limon",9
"190",2015,8,"Limon",10
"191",2015,4,"Limon",11
"192",2015,0,"Limon",12
"193",2016,2,"Limon",1
"194",2016,12,"Limon",2
"195",2016,3,"Limon",3
"196",2016,3,"Limon",4
"197",2016,16,"Limon",5
"198",2016,26,"Limon",6
"199",2016,42,"Limon",7
"200",2016,64,"Limon",8
"201",2016,43,"Limon",9
"202",2016,19,"Limon",10
"203",2016,20,"Limon",11
"204",2016,11,"Limon",12
"205",2017,17,"Limon",1
"206",2017,13,"Limon",2
